id_ponto;latitude_wgs84;longitude_wgs84;vento_bruto_ms;radiacao_solar_bruta;declive_bruto_graus;solo_bruto_codigo;restricao_dados_json;dist_urbana_bruto_km;dist_rede_bruto_km;pct_intersecao_urbana
1330;-6,554496742000781;-36,52481134757299;7,33;5,85;20,67;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,92;30,23;0,0
1331;-6,596365929080515;-36,52889974386912;7,33;5,85;21,52;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,9;26,14;0,0
1332;-6,639784142898051;-36,53969094008415;7,33;5,85;16,97;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,93;21,65;0,0
1333;-6,676964777485532;-36,54513528704397;7,33;5,85;17,89;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";11,25;18,31;0,0
1334;-6,747238610942379;-36,531025353871996;7,33;5,85;16,22;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";14,5;15,91;0,0
1335;-6,780259590918615;-36,52451971376711;7,19;5,85;13,89;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";16,96;16,04;0,0
1336;-6,81641597176466;-36,52976391522513;7,19;5,85;12,15;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";18,79;15,8;0,0
1337;-5,075419028166068;-36,48796381244341;7,73;5,97;3,57;33;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 100.0, ""Nenhuma"": 0.0}";2,03;7,98;3,97
1338;-5,108258038947819;-36,48607667757538;7,73;5,97;2,91;23;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 97.67, ""Nenhuma"": 2.33}";3,15;4,36;0,16
1339;-5,153447148766882;-36,48589970779725;7,73;5,97;2,27;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 15.16, ""Nenhuma"": 84.84}";7,74;0,79;0,0
1340;-5,198636188434595;-36,48572115838258;7,73;5,97;2,6;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,24;5,68;0,0
1341;-5,24382515734094;-36,4855410287775;7,73;5,97;2,82;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";11,68;10,67;0,0
1342;-5,2890140548760325;-36,485359318423136;7,33;5,97;3,12;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";12,6;15,67;0,0
1343;-5,334202880430132;-36,485176026755624;7,33;5,97;3,11;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";15,2;20,66;0,0
1344;-5,379391633393624;-36,48499115320609;7,33;5,97;3,09;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";12,95;25,66;0,0
1345;-5,424580313157038;-36,484804697200644;7,33;5,97;2,81;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";8,07;29,98;0,0
